genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1110.545,49602,2026-08-29T12:25:14.530373
12,Adventure,1110.545,28140,2026-08-29T12:25:14.928356
16,Animation,239.7891,71433,2026-08-29T12:25:15.323169
35,Comedy,239.7891,174728,2026-08-29T12:25:15.722888
80,Crime,298.9748,42532,2026-08-29T12:25:16.117394
99,Documentary,83.1896,227626,2026-08-29T12:25:16.511847
18,Drama,308.5632,297791,2026-08-29T12:25:16.908491
10751,Family,239.7891,33198,2026-08-29T12:25:17.348843
14,Fantasy,586.1293,30387,2026-08-29T12:25:17.744614
36,History,43.8553,22392,2026-08-29T12:25:18.142032
27,Horror,250.0668,73097,2026-08-29T12:25:18.538647
10402,Music,70.1877,54524,2026-08-29T12:25:18.964922
9648,Mystery,181.433,27147,2026-08-29T12:25:19.371944
10749,Romance,308.5632,64345,2026-08-29T12:25:19.770182
878,Science Fiction,1110.545,27000,2026-08-29T12:25:20.166675
10770,TV Movie,79.3995,32909,2026-08-29T12:25:20.586488
53,Thriller,472.8163,62116,2026-08-29T12:25:20.987555
10752,War,87.817,13061,2026-08-29T12:25:21.383050
37,Western,31.613,10220,2026-08-29T12:25:21.786289
