genre_id,genre_name,fetched_at
28,Action,2026-08-17T06:56:06.524684
12,Adventure,2026-08-17T06:56:06.524692
16,Animation,2026-08-17T06:56:06.524694
35,Comedy,2026-08-17T06:56:06.524695
80,Crime,2026-08-17T06:56:06.524696
99,Documentary,2026-08-17T06:56:06.524698
18,Drama,2026-08-17T06:56:06.524699
10751,Family,2026-08-17T06:56:06.524702
14,Fantasy,2026-08-17T06:56:06.524703
36,History,2026-08-17T06:56:06.524705
27,Horror,2026-08-17T06:56:06.524706
10402,Music,2026-08-17T06:56:06.524707
9648,Mystery,2026-08-17T06:56:06.524709
10749,Romance,2026-08-17T06:56:06.524710
878,Science Fiction,2026-08-17T06:56:06.524711
10770,TV Movie,2026-08-17T06:56:06.524712
53,Thriller,2026-08-17T06:56:06.524713
10752,War,2026-08-17T06:56:06.524714
37,Western,2026-08-17T06:56:06.524715
