tmdb_id,media_type,title,original_title,genres,genre_ids,vote_average,vote_count,popularity,release_date,release_year,original_language,origin_country,overview,extracted_at
1284041,movie,The Last House,The Last House,Horror|Science Fiction|Thriller,"[27, 878, 53]",6.938,758,311.0577,2026-08-06,2026.0,en,,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.,2026-08-17T07:53:29.403277+00:00
315635,movie,Spider-Man: Homecoming,Spider-Man: Homecoming,Action|Adventure|Science Fiction,"[28, 12, 878]",7.333,23651,158.5215,2017-07-05,2017.0,en,,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",2026-08-17T07:53:29.403277+00:00
1630409,movie,The Debt Collector,คนเดือดทวงแค้น,Action|Thriller|Crime,"[28, 53, 80]",7.976,103,91.0749,2026-07-20,2026.0,th,,"Tormented by past mistakes and a terminal diagnosis, an ex-debt collector returns to the underworld to protect the victims of a violent organization.",2026-08-17T07:53:29.403277+00:00
1668364,movie,Desire,Deseo,Mystery|Drama,"[9648, 18]",6.742,226,73.6011,2026-05-07,2026.0,es,,"Lucero’s life appears immaculate: a wealthy household, a devoted husband, and two children who embody the promise of a perfect family. Yet beneath this surface simmers a quiet dissatisfaction. When Matías, a young swimming coach hired by her husband, enters their lives, Lucero finds herself pulled into a risky and consuming relationship. As secrecy, desire, and jealousy tighten their grip, the boundaries within the family begin to collapse, placing mother and daughter in a dangerous emotional triangle that threatens to shatter everything Lucero has built.",2026-08-17T07:53:29.403277+00:00
1510795,movie,"Shake, Rattle & Roll: Evil Origins","Shake, Rattle & Roll: Evil Origins",Horror,[27],4.75,12,76.2556,2026-06-05,2026.0,tl,,"In 1775 during the Spanish colonial period in the Philippines, nuns attempts to survive the night after an unknown evil was set free in their cloister. Meanwhile in 2025, a group of friends attend a Halloween masquerade ball which was attacked by a serial killer. Fast forward to the future in 2050, a post-apocalytic Philippines is ruled by the aswang.",2026-08-17T07:53:29.403277+00:00
1504358,movie,Don't Say Good Luck,Don't Say Good Luck,Comedy|Music|Drama,"[35, 10402, 18]",6.9,24,65.2768,2026-08-13,2026.0,en,,Sophie Birenbaum is ready for the spotlight as the lead in her high school musical — until she's suddenly facing more drama at home than on the stage.,2026-08-17T07:53:29.403277+00:00
324857,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,Animation|Action|Adventure|Science Fiction,"[16, 28, 12, 878]",8.395,17639,58.9317,2018-12-06,2018.0,en,,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2026-08-17T07:53:29.403277+00:00
1007757,movie,Swapped,Swapped,Adventure|Animation|Family|Fantasy,"[12, 16, 10751, 14]",8.881,2107,52.1287,2026-05-01,2026.0,en,,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",2026-08-17T07:53:29.403277+00:00
1487864,movie,Nando Between Two Worlds - A Sintonia Film,Nando Entre Dois Mundos: Um Filme Sintonia,Drama|Thriller|Crime,"[18, 53, 80]",5.2,11,53.1523,2026-08-12,2026.0,pt,,"Caught between family life and his obligations to the criminal underworld, Nando faces an impossible choice about where his true loyalties lie.",2026-08-17T07:53:29.403277+00:00
1234821,movie,Jurassic World Rebirth,Jurassic World Rebirth,Science Fiction|Adventure|Action,"[878, 12, 28]",6.262,3654,51.6679,2025-06-23,2025.0,en,,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",2026-08-17T07:53:29.403277+00:00
