tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1288445,Mutiny,Mutiny,502.0551,6.7,157,2026-08-19,"[28, 53]","After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",/aAnTt6KpmbbHbd6xH3FQFlppZjc.jpg,movie,2026-08-25T06:48:06.234741,2Iqvbe98Gb4,Official UK Trailer,Trailer,https://www.youtube.com/watch?v=2Iqvbe98Gb4
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,1380.7869,7.9,2124,2026-07-29,"[878, 28, 12]",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,movie,2026-08-25T06:48:06.234756,8TZMtslA3UY,Official Trailer,Trailer,https://www.youtube.com/watch?v=8TZMtslA3UY
1212763,Evil Dead Burn,Evil Dead Burn,124.2903,7.8,1261,2026-07-07,[27],"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death.",/uRxrNXQWkHoENm3nwVOZDYSCx2F.jpg,movie,2026-08-25T06:48:06.234762,TnHby2cxJzs,Official Trailer,Trailer,https://www.youtube.com/watch?v=TnHby2cxJzs
1621552,Facing El Chapo,La captura,259.4866,7.69,71,2026-08-21,"[80, 28, 53]",Two Mexican officers must survive the final hours of their shift after crossing a ruthless cartel boss.,/alpf5v4UqSFawPmG9RX03Or4BDk.jpg,movie,2026-08-25T06:48:06.234768,Rk0efhpa-5Y,"FACING EL CHAPO Official Trailer (2026) Netflix | Alfonso Herrera, Noé Hernández 🚨",Trailer,https://www.youtube.com/watch?v=Rk0efhpa-5Y
1368337,The Odyssey,The Odyssey,614.2746,7.994,3156,2026-07-15,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,movie,2026-08-25T06:48:06.234772,AyIZ9tiiN8I,Official Countdown Trailer,Trailer,https://www.youtube.com/watch?v=AyIZ9tiiN8I
1339713,Obsession,Obsession,278.924,8.215,5020,2026-05-13,"[27, 53]","After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,2026-08-25T06:48:06.234776,gMC8kkwbIQQ,Official Trailer,Trailer,https://www.youtube.com/watch?v=gMC8kkwbIQQ
1084244,Toy Story 5,Toy Story 5,328.4932,8.197,1583,2026-06-17,"[16, 10751, 35, 12]","When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,movie,2026-08-25T06:48:06.234781,c51ND9Hdbw0,Official Trailer,Trailer,https://www.youtube.com/watch?v=c51ND9Hdbw0
1384216,The Dog Stars,The Dog Stars,22.0818,7.2,4,2026-08-26,"[878, 12, 53]","After the world's population has been ravaged by a pandemic, a man lives a lonesome existence in a Colorado airplane hangar with his dog and a dour gunman he has befriended. When a mysterious transmission comes through on the radio while he’s flying his old Cessna, it sparks a hunt for the provenance of the sound.",/5O616X9vmRzQdB68PHzBewPittd.jpg,movie,2026-08-25T06:48:06.234792,-xSxaE1ClEE,Official Trailer,Trailer,https://www.youtube.com/watch?v=-xSxaE1ClEE
1291595,Insidious: Out of the Further,Insidious: Out of the Further,106.5301,6.6,52,2026-08-19,"[27, 53]","Gemma, a young mother raising her daughter in the house she grew up in, discovers she can travel into The Further, where she possesses an ability to bring what lives there back to the real world.",/4tTrW9dXCByS5wt2pXVWb58zNjz.jpg,movie,2026-08-25T06:48:06.234798,jxU8FU3o75A,Official Trailer,Trailer,https://www.youtube.com/watch?v=jxU8FU3o75A
1083381,Backrooms,Backrooms,133.9161,7.094,2943,2026-05-27,"[27, 9648, 878]",A strange doorway appears in the basement of a furniture showroom.,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,movie,2026-08-25T06:48:06.234803,0HjdiohVOik,Official Trailer,Trailer,https://www.youtube.com/watch?v=0HjdiohVOik
